Num Bonds	End to End Distance
2	3.74166
2	2.82843
2	3.74166
2	3.74166
1	3.74166
1	3.74166
0	3.74166
0	3.74166
1	3.74166
0	3.74166
0	3.74166
1	3.74166
1	3.74166
1	3.74166
2	3.74166
2	3.74166
2	3.74166
2	3.74166
2	3.74166
2	3.74166
2	5.09902
2	4.24264
2	3.74166
2	3.74166
2	3.74166
2	3.74166
2	3.74166
2	3.74166
2	3.74166
2	4.24264
2	5.09902
2	5.09902
3	5.09902
3	4.47214
3	4.47214
3	4.47214
3	4.47214
3	2.82843
3	2.82843
2	2.82843
1	2.82843
1	2.82843
2	2.82843
3	2.82843
3	2.82843
3	2.82843
3	2.82843
2	2.82843
2	2.82843
2	2.82843
3	2.82843
3	2.44949
3	2.44949
3	2.44949
3	2.44949
3	2.44949
3	2.44949
3	2.44949
3	2.44949
3	3.4641
2	3.4641
2	4.69042
3	4.69042
3	4.69042
3	4.69042
3	6.16441
3	6.16441
3	6.16441
7	6.16441
7	6.16441
7	6.16441
7	5.47723
7	5.47723
7	5.47723
7	5.47723
7	5.47723
6	5.47723
6	5.47723
6	5.47723
6	5.47723
6	5.47723
6	5.47723
5	5.47723
5	5.47723
5	5.47723
5	5.47723
5	5.47723
5	5.47723
5	5.47723
5	5.47723
5	5.47723
5	5.47723
4	5.47723
4	6.48074
4	6.48074
4	5.65685
4	5.65685
4	5.65685
4	5.65685
4	5.65685
4	5.65685
4	5.65685
4	5.65685
4	6
4	5.65685
4	5.65685
4	5.65685
4	6.48074
4	5.09902
4	5.09902
4	6
4	6
4	6
4	6
4	6
4	6
3	6
2	6
2	6
2	6
3	6
4	6
4	6
4	6
4	6
4	6
5	6
5	4.89898
5	4.89898
5	4.89898
5	4.89898
5	4.89898
5	3.4641
5	3.74166
5	4.89898
5	4.89898
5	4.89898
5	4.89898
5	4.89898
5	4.89898
5	4.89898
5	4.89898
5	3.4641
5	3.4641
6	3.4641
6	3.4641
5	3.4641
6	3.4641
6	3.4641
5	3.4641
5	3.4641
5	4.69042
3	4.69042
5	4.69042
3	4.69042
3	3.4641
5	3.4641
5	3.4641
5	4.69042
4	4.69042
4	4.69042
4	4.69042
4	4.69042
4	4.69042
4	4.69042
4	4.69042
4	4.69042
4	4.69042
5	4.69042
5	4.69042
4	4.69042
4	4.69042
4	4.69042
3	4.69042
5	4.69042
5	4.69042
5	4.69042
4	4.69042
4	4.69042
4	4.69042
4	3.4641
4	3.4641
4	3.4641
4	3.4641
4	3.4641
5	3.4641
5	3.4641
3	3.4641
2	3.4641
2	3.4641
1	3.4641
1	3.4641
1	3.4641
1	3.4641
1	3.4641
1	3.4641
1	3.4641
1	3.4641
1	3.4641
1	3.4641
1	3.4641
1	3.4641
1	3.4641
1	3.4641
1	3.74166
1	3.74166
1	3.74166
2	3.74166
2	3.74166
2	3.74166
2	3.74166
2	3.74166
2	5.09902
1	5.09902
1	5.09902
1	4.69042
2	4.69042
2	3.74166
2	3.74166
2	3.74166
2	3.74166
1	3.74166
1	3.74166
1	3.74166
1	3.74166
0	3.74166
0	3.74166
0	5.09902
0	5.09902
0	6
0	6
0	6
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.16441
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	6.63325
0	5.47723
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	3.74166
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	4.24264
1	4.24264
1	4.24264
1	4.24264
1	3.74166
0	3.74166
0	3.74166
0	3.74166
0	3.74166
0	3.74166
0	3.74166
0	3.74166
0	3.74166
0	4.24264
0	4.24264
0	4.24264
0	4.24264
0	3.74166
0	3.74166
1	3.74166
1	3.74166
1	4.89898
1	4.89898
1	4.89898
0	4.89898
1	4.89898
0	4.89898
0	4.69042
1	4.69042
1	4.69042
0	4.69042
0	4.69042
0	4.69042
1	4.69042
2	4.69042
2	4.69042
2	3.74166
2	3.74166
2	3.74166
2	3.74166
3	3.74166
3	3.74166
3	3.74166
3	3.74166
2	3.74166
3	3.74166
3	3.74166
2	3.74166
2	3.74166
2	3.74166
2	3.74166
2	3.16228
2	3.16228
2	3.16228
2	3.16228
2	3.16228
2	3.16228
2	2.44949
2	2.44949
2	2.44949
2	2
2	2
2	2
2	2
2	3.16228
2	3.16228
2	3.16228
2	3.16228
2	3.16228
3	3.16228
3	3.16228
2	3.16228
2	3.16228
3	3.16228
3	3.16228
3	3.16228
3	3.16228
3	3.16228
3	3.16228
3	3.16228
2	3.16228
2	3.16228
3	3.16228
3	3.16228
3	3.16228
3	3.16228
3	3.16228
4	3.16228
4	2.82843
4	2.82843
4	2.82843
4	2.82843
4	2.82843
4	2.82843
4	2.82843
4	2.82843
4	2.82843
5	2.82843
5	4.24264
5	3.74166
5	3.74166
5	3.74166
4	3.74166
5	3.74166
5	3.74166
6	3.74166
6	3.74166
6	3.74166
6	3.74166
6	3.74166
6	3.74166
6	3.74166
6	4.24264
6	4.24264
6	4.24264
6	4.24264
6	4.24264
6	4.24264
6	4.24264
6	4.24264
8	4.24264
8	4.24264
8	4.24264
8	4.24264
7	4.24264
7	4.24264
7	4.24264
7	4.24264
7	4.24264
7	2.82843
7	2.82843
7	2.82843
7	2.82843
7	2.82843
7	2.82843
7	2.82843
7	2.82843
7	2.82843
7	2.82843
7	2.82843
7	4.47214
7	4.47214
7	4.47214
7	4.47214
8	4.47214
8	4.47214
8	4.47214
8	4.47214
8	4.47214
8	4.47214
8	4.47214
8	4.47214
8	4.47214
8	2.82843
8	2.82843
8	2.82843
8	2.82843
8	2.82843
8	2.82843
8	2.82843
8	2.82843
6	2.82843
6	2.82843
6	2.82843
6	2.82843
6	2.82843
6	2.82843
8	2.82843
8	2.82843
8	2.82843
8	2.82843
8	2.82843
